epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.09351,1.99406,4.40837,2.00201,0.00287,0.72395,0.12259,0.05521,1.54649,3.51773,1.53622,0.00024293,0.00024293,0.00024293
2,7.44716,1.49696,3.28164,1.43189,0.00272,0.85118,0.17618,0.10838,1.39148,3.37459,1.40808,0.000495199,0.000495199,0.000495199
3,9.7751,1.3963,2.83755,1.35247,0.63438,0.08142,0.24202,0.15101,1.35146,2.96274,1.41374,0.000742374,0.000742374,0.000742374
4,12.0826,1.34116,2.7072,1.31158,0.28082,0.12608,0.17996,0.10668,1.48289,3.10011,1.63895,0.000984457,0.000984457,0.000984457
5,14.3407,1.31659,2.55033,1.35719,0.21353,0.41985,0.18942,0.11116,1.44031,2.76651,1.5912,0.00122145,0.00122145,0.00122145
6,16.6433,1.271,2.32632,1.3535,0.32553,0.30984,0.26342,0.14795,1.40493,2.84239,1.51851,0.00135826,0.00135826,0.00135826
7,18.8966,1.27855,2.24274,1.34263,0.48101,0.2418,0.204,0.10869,1.61697,2.941,1.70889,0.00134412,0.00134412,0.00134412
8,21.183,1.28024,2.16148,1.35306,0.54699,0.27596,0.18358,0.09299,1.47235,3.16224,1.56645,0.00132997,0.00132997,0.00132997
9,23.4676,1.28891,2.16676,1.35816,0.27833,0.55625,0.3456,0.21791,1.23062,2.34495,1.446,0.00131582,0.00131582,0.00131582
10,25.756,1.26519,2.04569,1.35365,0.72261,0.18761,0.29091,0.19424,1.2305,2.12565,1.43867,0.00130168,0.00130168,0.00130168
11,27.971,1.29956,1.89989,1.35954,0.2846,0.45756,0.40693,0.26157,1.30424,1.9926,1.47104,0.00128753,0.00128753,0.00128753
12,30.246,1.24855,1.83713,1.31166,0.34581,0.50732,0.39692,0.25015,1.23961,1.77922,1.45617,0.00127338,0.00127338,0.00127338
13,32.4674,1.21001,1.79309,1.30356,0.27545,0.57905,0.31377,0.20442,1.20009,1.75807,1.41717,0.00125923,0.00125923,0.00125923
14,34.7534,1.24188,1.70782,1.31743,0.36217,0.60704,0.41766,0.27181,1.26906,1.76877,1.4455,0.00124509,0.00124509,0.00124509
15,37.0479,1.17472,1.60004,1.24185,0.33149,0.61828,0.36668,0.22568,1.27986,2.22771,1.43792,0.00123094,0.00123094,0.00123094
16,39.3281,1.14597,1.56867,1.27555,0.3194,0.61913,0.40963,0.26474,1.2615,1.94378,1.45333,0.00121679,0.00121679,0.00121679
